"Name","Author","Year","Price","User_Rating","Reviews","Genre"
"The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race","Jon Stewart","2010","11","4.4","440","Non Fiction"
"The Day the Crayons Quit","Drew Daywalt","2013","9","4.8","8922","Fiction"
"The Day the Crayons Quit","Drew Daywalt","2014","9","4.8","8922","Fiction"
"The Day the Crayons Quit","Drew Daywalt","2015","9","4.8","8922","Fiction"
"The Dukan Diet: 2 Steps to Lose the Weight, 2 Steps to Keep It Off Forever","Pierre Dukan","2011","15","4.1","2023","Non Fiction"
"The Elegance of the Hedgehog","Muriel Barbery","2009","11","4","1859","Fiction"
"The Fault in Our Stars","John Green","2012","13","4.7","50482","Fiction"
"The Fault in Our Stars","John Green","2013","13","4.7","50482","Fiction"
"The Fault in Our Stars","John Green","2014","7","4.7","50482","Fiction"
"The Fault in Our Stars","John Green","2014","13","4.7","50482","Fiction"
"The Five Dysfunctions of a Team: A Leadership Fable","Patrick Lencioni","2009","6","4.6","3207","Non Fiction"
"The Five Dysfunctions of a Team: A Leadership Fable","Patrick Lencioni","2010","6","4.6","3207","Non Fiction"
"The Five Dysfunctions of a Team: A Leadership Fable","Patrick Lencioni","2011","6","4.6","3207","Non Fiction"
"The Five Dysfunctions of a Team: A Leadership Fable","Patrick Lencioni","2012","6","4.6","3207","Non Fiction"
"The Five Dysfunctions of a Team: A Leadership Fable","Patrick Lencioni","2013","6","4.6","3207","Non Fiction"
"The Five Love Languages: How to Express Heartfelt Commitment to Your Mate","Gary Chapman","2009","9","4.6","803","Non Fiction"
"The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book)","Don Miguel Ruiz","2013","6","4.7","23308","Non Fiction"
"The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book)","Don Miguel Ruiz","2015","6","4.7","23308","Non Fiction"
"The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book)","Don Miguel Ruiz","2016","6","4.7","23308","Non Fiction"
"The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book)","Don Miguel Ruiz","2017","6","4.7","23308","Non Fiction"
"The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book)","Don Miguel Ruiz","2018","6","4.7","23308","Non Fiction"
"The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book)","Don Miguel Ruiz","2019","6","4.7","23308","Non Fiction"
"The Getaway","Jeff Kinney","2017","0","4.8","5836","Fiction"
"The Girl on the Train","Paula Hawkins","2015","18","4.1","79446","Fiction"
"The Girl on the Train","Paula Hawkins","2016","7","4.1","79446","Fiction"
"The Girl Who Kicked the Hornet's Nest (Millennium Trilogy)","Stieg Larsson","2010","14","4.7","7747","Fiction"
"The Girl Who Kicked the Hornet's Nest (Millennium Trilogy)","Stieg Larsson","2011","14","4.7","7747","Fiction"
"The Girl Who Played with Fire (Millennium Series)","Stieg Larsson","2010","9","4.7","7251","Fiction"
"The Girl Who Played with Fire (Millennium)","Stieg Larsson","2009","16","4.7","7251","Fiction"
"The Girl with the Dragon Tattoo (Millennium Series)","Stieg Larsson","2009","2","4.4","10559","Fiction"
"The Girl with the Dragon Tattoo (Millennium Series)","Stieg Larsson","2010","2","4.4","10559","Fiction"
"The Going-To-Bed Book","Sandra Boynton","2016","5","4.8","5249","Fiction"
"The Going-To-Bed Book","Sandra Boynton","2017","5","4.8","5249","Fiction"
"The Goldfinch: A Novel (Pulitzer Prize for Fiction)","Donna Tartt","2013","20","3.9","33844","Fiction"
"The Goldfinch: A Novel (Pulitzer Prize for Fiction)","Donna Tartt","2014","20","3.9","33844","Fiction"
"The Great Gatsby","F. Scott Fitzgerald","2012","7","4.4","11616","Fiction"
"The Great Gatsby","F. Scott Fitzgerald","2013","7","4.4","11616","Fiction"
"The Great Gatsby","F. Scott Fitzgerald","2014","7","4.4","11616","Fiction"
"The Guardians: A Novel","John Grisham","2019","14","4.5","13609","Fiction"
"The Guernsey Literary and Potato Peel Pie Society","Mary Ann Shaffer","2009","10","4.7","8587","Fiction"
"The Handmaid's Tale","Margaret Atwood","2017","7","4.3","29442","Fiction"
"The Harbinger: The Ancient Mystery that Holds the Secret of America's Future","Jonathan Cahn","2012","13","4.6","11098","Fiction"
"The Hate U Give","Angie Thomas","2018","11","4.8","9947","Fiction"
"The Help","Kathryn Stockett","2009","6","4.8","13871","Fiction"
"The Help","Kathryn Stockett","2010","6","4.8","13871","Fiction"
"The Help","Kathryn Stockett","2011","7","4.8","13871","Fiction"
"The Help","Kathryn Stockett","2011","8","4.8","13871","Fiction"
"The House of Hades (Heroes of Olympus, Book 4)","Rick Riordan","2013","14","4.8","6982","Fiction"
"The Hunger Games","Suzanne Collins","2010","14","4.7","32122","Fiction"
"The Hunger Games (Book 1)","Suzanne Collins","2011","8","4.7","32122","Fiction"
"The Hunger Games (Book 1)","Suzanne Collins","2012","8","4.7","32122","Fiction"
"The Hunger Games Trilogy Boxed Set (1)","Suzanne Collins","2011","30","4.8","16949","Fiction"
"The Hunger Games Trilogy Boxed Set (1)","Suzanne Collins","2012","30","4.8","16949","Fiction"
"The Immortal Life of Henrietta Lacks","Rebecca Skloot","2010","13","4.7","9289","Non Fiction"
"The Immortal Life of Henrietta Lacks","Rebecca Skloot","2011","9","4.7","9289","Non Fiction"
"The Immortal Life of Henrietta Lacks","Rebecca Skloot","2012","9","4.7","9289","Non Fiction"
"The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals","Laurel Randolph","2017","7","4.3","7368","Non Fiction"
"The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals","Laurel Randolph","2018","7","4.3","7368","Non Fiction"
"The Last Lecture","Randy Pausch","2009","9","4.7","4028","Non Fiction"
"The Last Olympian (Percy Jackson and the Olympians, Book 5)","Rick Riordan","2009","7","4.8","4628","Fiction"
"The Last Olympian (Percy Jackson and the Olympians, Book 5)","Rick Riordan","2010","7","4.8","4628","Fiction"
"The Legend of Zelda: Hyrule Historia","Patrick Thorpe","2013","20","4.9","5396","Fiction"
"The Lego Ideas Book: Unlock Your Imagination","Daniel Lipkowitz","2011","13","4.4","4247","Non Fiction"
"The Lego Ideas Book: Unlock Your Imagination","Daniel Lipkowitz","2012","13","4.4","4247","Non Fiction"
"The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing","Marie Kondō","2015","11","4.5","22641","Non Fiction"
"The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing","Marie Kondō","2016","11","4.5","22641","Non Fiction"
"The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing","Marie Kondō","2017","11","4.5","22641","Non Fiction"
"The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing","Marie Kondō","2019","11","4.5","22641","Non Fiction"
"The Litigators","John Grisham","2011","18","4.4","6222","Fiction"
"The Lost Hero (Heroes of Olympus, Book 1)","Rick Riordan","2010","14","4.8","4506","Fiction"
"The Lost Symbol","Dan Brown","2009","19","4.2","8747","Fiction"
"The Love Dare","Stephen Kendrick","2009","13","4.8","1655","Non Fiction"
"The Magnolia Story","Chip Gaines","2016","5","4.9","7861","Non Fiction"
"The Mark of Athena (Heroes of Olympus, Book 3)","Rick Riordan","2012","10","4.8","6247","Fiction"
"The Martian","Andy Weir","2015","9","4.7","39459","Fiction"
"The Maze Runner (Book 1)","James Dashner","2014","8","4.5","10101","Fiction"
"The Meltdown (Diary of a Wimpy Kid Book 13)","Jeff Kinney","2018","8","4.8","5898","Fiction"
"The Mueller Report","The Washington Post","2019","12","4.6","2744","Non Fiction"
"The Nightingale: A Novel","Kristin Hannah","2015","11","4.8","49288","Fiction"
"The Nightingale: A Novel","Kristin Hannah","2016","11","4.8","49288","Fiction"
"The Official SAT Study Guide","The College Board","2010","40","4.4","1201","Non Fiction"
"The Official SAT Study Guide","The College Board","2011","40","4.4","1201","Non Fiction"
"The Official SAT Study Guide","The College Board","2012","40","4.4","1201","Non Fiction"
"The Official SAT Study Guide","The College Board","2013","40","4.4","1201","Non Fiction"
"The Official SAT Study Guide","The College Board","2014","40","4.4","1201","Non Fiction"
"The Official SAT Study Guide, 2016 Edition (Official Study Guide for the New Sat)","The College Board","2016","36","4.3","807","Non Fiction"
"The Paris Wife: A Novel","Paula McLain","2011","16","4.3","3759","Fiction"
"The Pioneer Woman Cooks: A Year of Holidays: 140 Step-by-Step Recipes for Simple, Scrumptious Celebrations","Ree Drummond","2013","17","4.8","2663","Non Fiction"
"The Pioneer Woman Cooks: Dinnertime - Comfort Classics, Freezer Food, 16-minute Meals, and Other Delicious Ways to Solve…","Ree Drummond","2015","14","4.8","3428","Non Fiction"
"The Pioneer Woman Cooks: Food from My Frontier","Ree Drummond","2012","21","4.8","2876","Non Fiction"
"The Plant Paradox Cookbook: 100 Delicious Recipes to Help You Lose Weight, Heal Your Gut, and Live Lectin-Free","Dr. Steven R Gundry MD","2018","18","4.5","3601","Non Fiction"
"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain","Dr. Steven R Gundry MD","2018","17","4.4","7058","Non Fiction"
"The Pout-Pout Fish","Deborah Diesen","2017","5","4.8","9784","Fiction"
"The Pout-Pout Fish","Deborah Diesen","2018","5","4.8","9784","Fiction"
"The Power of Habit: Why We Do What We Do in Life and Business","Charles Duhigg","2012","21","4.6","10795","Non Fiction"
"The President Is Missing: A Novel","James Patterson","2018","18","4.3","10191","Fiction"
"The Racketeer","John Grisham","2012","18","4.3","14493","Fiction"
"The Red Pyramid (The Kane Chronicles, Book 1)","Rick Riordan","2010","12","4.6","2186","Fiction"
"The Road to Serfdom: Text and Documents--The Definitive Edition (The Collected Works of F. A. Hayek, Volume 2)","F. A. Hayek","2010","14","4.6","1204","Non Fiction"
"The Serpent's Shadow (The Kane Chronicles, Book 3)","Rick Riordan","2012","12","4.8","2091","Fiction"
"The Shack: Where Tragedy Confronts Eternity","William P. Young","2009","8","4.6","19720","Fiction"
"The Shack: Where Tragedy Confronts Eternity","William P. Young","2017","8","4.6","19720","Fiction"
"The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga)","Stephenie Meyer","2010","0","4.6","2122","Fiction"
"The Silent Patient","Alex Michaelides","2019","14","4.5","27536","Fiction"
"The Son of Neptune (Heroes of Olympus, Book 2)","Rick Riordan","2011","10","4.8","4290","Fiction"
"The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life","Mark Manson","2017","15","4.6","26490","Non Fiction"
"The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life","Mark Manson","2018","15","4.6","26490","Non Fiction"
"The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life","Mark Manson","2019","15","4.6","26490","Non Fiction"
"The Sun and Her Flowers","Rupi Kaur","2017","9","4.7","5487","Non Fiction"
"The Third Wheel (Diary of a Wimpy Kid, Book 7)","Jeff Kinney","2012","7","4.7","6377","Fiction"
"The Throne of Fire (The Kane Chronicles, Book 2)","Rick Riordan","2011","10","4.7","1463","Fiction"
"The Time Traveler's Wife","Audrey Niffenegger","2009","6","4.4","3759","Fiction"
"The Tipping Point: How Little Things Can Make a Big Difference","Malcolm Gladwell","2009","9","4.4","3503","Non Fiction"
"The Total Money Makeover: Classic Edition: A Proven Plan for Financial Fitness","Dave Ramsey","2019","10","4.7","11550","Non Fiction"
"The Twilight Saga Collection","Stephenie Meyer","2009","82","4.7","3801","Fiction"
"The Ugly Truth (Diary of a Wimpy Kid, Book 5)","Jeff Kinney","2010","12","4.8","3796","Fiction"
"The Unofficial Harry Potter Cookbook: From Cauldron Cakes to Knickerbocker Glory--More Than 150 Magical Recipes for…","Dinah Bucholz","2019","10","4.7","9030","Non Fiction"
"The Very Hungry Caterpillar","Eric Carle","2013","5","4.9","19546","Fiction"
"The Very Hungry Caterpillar","Eric Carle","2014","5","4.9","19546","Fiction"
"The Very Hungry Caterpillar","Eric Carle","2015","5","4.9","19546","Fiction"
"The Very Hungry Caterpillar","Eric Carle","2016","5","4.9","19546","Fiction"
"The Very Hungry Caterpillar","Eric Carle","2017","5","4.9","19546","Fiction"
"The Very Hungry Caterpillar","Eric Carle","2018","5","4.9","19546","Fiction"
"The Very Hungry Caterpillar","Eric Carle","2019","5","4.9","19546","Fiction"
"The Whole30: The 30-Day Guide to Total Health and Food Freedom","Melissa Hartwig Urban","2015","16","4.6","7508","Non Fiction"
"The Whole30: The 30-Day Guide to Total Health and Food Freedom","Melissa Hartwig Urban","2016","16","4.6","7508","Non Fiction"
"The Whole30: The 30-Day Guide to Total Health and Food Freedom","Melissa Hartwig Urban","2017","16","4.6","7508","Non Fiction"
"The Wonderful Things You Will Be","Emily Winfield Martin","2016","10","4.9","8842","Fiction"
"The Wonderful Things You Will Be","Emily Winfield Martin","2017","10","4.9","8842","Fiction"
"The Wonderful Things You Will Be","Emily Winfield Martin","2018","10","4.9","8842","Fiction"
"The Wonderful Things You Will Be","Emily Winfield Martin","2019","10","4.9","8842","Fiction"
"The Wonky Donkey","Craig Smith","2018","4","4.8","30183","Fiction"
"The Wonky Donkey","Craig Smith","2019","4","4.8","30183","Fiction"
"The Wright Brothers","David McCullough","2015","16","4.7","6169","Non Fiction"
"Things That Matter: Three Decades of Passions, Pastimes and Politics [Deckled Edge]","Charles Krauthammer","2013","15","4.7","7034","Non Fiction"
"Thinking, Fast and Slow","Daniel Kahneman","2011","19","4.6","11034","Non Fiction"
"Thinking, Fast and Slow","Daniel Kahneman","2012","19","4.6","11034","Non Fiction"
"Thirteen Reasons Why","Jay Asher","2017","9","4.5","7932","Fiction"
"Thomas Jefferson: The Art of Power","Jon Meacham","2012","23","4.5","1904","Non Fiction"
"Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time","Greg Mortenson","2009","11","4.3","3319","Non Fiction"
"Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time","Greg Mortenson","2010","11","4.3","3319","Non Fiction"
"Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks)","Thug Kitchen","2014","23","4.6","11128","Non Fiction"
"Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks)","Thug Kitchen","2015","23","4.6","11128","Non Fiction"
"Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks)","Thug Kitchen","2016","23","4.6","11128","Non Fiction"
"Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks)","Thug Kitchen","2017","23","4.6","11128","Non Fiction"
"Tina Fey: Bossypants","Tina Fey","2011","12","4.3","5977","Non Fiction"
"To Kill a Mockingbird","Harper Lee","2013","0","4.8","26234","Fiction"
"To Kill a Mockingbird","Harper Lee","2014","0","4.8","26234","Fiction"
"To Kill a Mockingbird","Harper Lee","2015","0","4.8","26234","Fiction"
"To Kill a Mockingbird","Harper Lee","2016","0","4.8","26234","Fiction"
"To Kill a Mockingbird","Harper Lee","2019","7","4.8","26234","Fiction"
"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers","Timothy Ferriss","2017","21","4.6","4360","Non Fiction"
"Towers of Midnight (Wheel of Time, Book Thirteen)","Robert Jordan","2010","21","4.8","2282","Fiction"
"True Compass: A Memoir","Edward M. Kennedy","2009","15","4.5","438","Non Fiction"
"Twilight (The Twilight Saga, Book 1)","Stephenie Meyer","2009","9","4.7","11676","Fiction"
"Ultimate Sticker Book: Frozen: More Than 60 Reusable Full-Color Stickers","DK","2014","5","4.5","2586","Fiction"
"Unbroken: A World War II Story of Survival, Resilience, and Redemption","Laura Hillenbrand","2010","16","4.8","29673","Non Fiction"
"Unbroken: A World War II Story of Survival, Resilience, and Redemption","Laura Hillenbrand","2011","16","4.8","29673","Non Fiction"
"Unbroken: A World War II Story of Survival, Resilience, and Redemption","Laura Hillenbrand","2012","16","4.8","29673","Non Fiction"
"Unbroken: A World War II Story of Survival, Resilience, and Redemption","Laura Hillenbrand","2014","13","4.8","29673","Non Fiction"
"Unbroken: A World War II Story of Survival, Resilience, and Redemption","Laura Hillenbrand","2014","16","4.8","29673","Non Fiction"
"Under the Dome: A Novel","Stephen King","2009","20","4.3","6740","Fiction"
"Unfreedom of the Press","Mark R. Levin","2019","11","4.9","5956","Non Fiction"
"Unicorn Coloring Book: For Kids Ages 4-8 (US Edition) (Silly Bear Coloring Books)","Silly Bear","2019","4","4.8","6108","Non Fiction"
"Uninvited: Living Loved When You Feel Less Than, Left Out, and Lonely","Lysa TerKeurst","2016","9","4.7","4585","Non Fiction"
"Watchmen","Alan Moore","2009","42","4.8","3829","Fiction"
"Water for Elephants: A Novel","Sara Gruen","2011","12","4.5","8958","Fiction"
"What Happened","Hillary Rodham Clinton","2017","18","4.6","5492","Non Fiction"
"What If?: Serious Scientific Answers to Absurd Hypothetical Questions","Randall Munroe","2014","17","4.7","9292","Non Fiction"
"What Pet Should I Get? (Classic Seuss)","Dr. Seuss","2015","14","4.7","1873","Fiction"
"What Should Danny Do? (The Power to Choose Series)","Adir Levy","2019","13","4.8","8170","Fiction"
"What to Expect When You're Expecting","Heidi Murkoff","2011","9","4.4","3341","Non Fiction"
"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health","William Davis","2012","6","4.4","7497","Non Fiction"
"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health","William Davis","2013","6","4.4","7497","Non Fiction"
"When Breath Becomes Air","Paul Kalanithi","2016","14","4.8","13779","Non Fiction"
"Where the Crawdads Sing","Delia Owens","2019","15","4.8","87841","Fiction"
"Where the Wild Things Are","Maurice Sendak","2009","13","4.8","9967","Fiction"
"Whose Boat Is This Boat?: Comments That Don't Help in the Aftermath of a Hurricane","The Staff of The Late Show with","2018","12","4.6","6669","Non Fiction"
"Wild: From Lost to Found on the Pacific Crest Trail","Cheryl Strayed","2012","18","4.4","17044","Non Fiction"
"Winter of the World: Book Two of the Century Trilogy","Ken Follett","2012","15","4.5","10760","Fiction"
"Women Food and God: An Unexpected Path to Almost Everything","Geneen Roth","2010","11","4.2","1302","Non Fiction"
"Wonder","R. J. Palacio","2013","9","4.8","21625","Fiction"
"Wonder","R. J. Palacio","2014","9","4.8","21625","Fiction"
"Wonder","R. J. Palacio","2015","9","4.8","21625","Fiction"
"Wonder","R. J. Palacio","2016","9","4.8","21625","Fiction"
"Wonder","R. J. Palacio","2017","9","4.8","21625","Fiction"
"Wrecking Ball (Diary of a Wimpy Kid Book 14)","Jeff Kinney","2019","8","4.9","9413","Fiction"
"You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life","Jen Sincero","2016","8","4.7","14331","Non Fiction"
"You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life","Jen Sincero","2017","8","4.7","14331","Non Fiction"
"You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life","Jen Sincero","2018","8","4.7","14331","Non Fiction"
"You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life","Jen Sincero","2019","8","4.7","14331","Non Fiction"
